OpportunityId,SnapshotDate,IsWon,StageName,Amount,Probability,ForecastCategory,Type,LeadSource,Primary_Competitor__c,OpportunityAgeDays,HorizonDays,HistoryRowsUpToSnapshot
OPP-001,2026-01-02T00:00:00Z,1,Proposal,95000,0.72,Commit,New Business,Inbound,CompetitorA,34,7,16
OPP-002,2026-01-03T00:00:00Z,0,Discovery,24000,0.31,Pipeline,Expansion,Outbound,CompetitorB,11,7,4
OPP-003,2026-01-04T00:00:00Z,1,Negotiation,125000,0.79,Commit,New Business,Partner,CompetitorA,47,7,20
OPP-004,2026-01-05T00:00:00Z,0,Qualification,18000,0.27,Pipeline,New Business,Inbound,CompetitorC,9,7,3
OPP-005,2026-01-06T00:00:00Z,1,Proposal,63000,0.68,BestCase,Expansion,Outbound,CompetitorB,29,7,14
OPP-006,2026-01-07T00:00:00Z,0,Discovery,15000,0.22,Pipeline,New Business,Inbound,CompetitorC,7,7,2
OPP-007,2026-01-08T00:00:00Z,1,Negotiation,137000,0.81,Commit,New Business,Referral,CompetitorA,51,7,21
OPP-008,2026-01-09T00:00:00Z,0,Qualification,27000,0.35,BestCase,Expansion,Outbound,CompetitorB,15,7,6
OPP-009,2026-01-10T00:00:00Z,1,Proposal,89000,0.74,Commit,New Business,Inbound,CompetitorA,38,7,17
OPP-010,2026-01-11T00:00:00Z,0,Discovery,21000,0.29,Pipeline,Expansion,Partner,CompetitorC,12,7,5
